cps19_gender,cps19_marital,cps19_employment,cps19_province,cps19_education,cps19_income_cat,cps19_votechoice,cps19_votechoice_pr,cps19_vote_lean_pr,cps19_vote_lean,cps19_vote_unlike_pr,gender,employment,marital,edu,province,income,vote,voteLiberal,voteCon
1,6,9,22,8,6,2,0,0,0,0,male,Other,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"High family Income: above $10,000",2,0,1
2,6,9,22,8,6,1,0,0,0,0,female,Other,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"High family Income: above $10,000",1,1,0
2,2,2,22,8,8,2,0,0,0,0,female,Working at a paid job or self-employed,Living common-law,University certificate or diploma below the bachelor’s level,Ontario,"High family Income: above $10,000",2,0,1
1,6,6,22,5,7,1,0,0,0,0,male,Going to school,"Single, never married",High school diploma or high school equivalency certificate,Ontario,"High family Income: above $10,000",1,1,0
2,6,6,22,5,4,1,0,0,0,0,female,Going to school,"Single, never married",High school diploma or high school equivalency certificate,Ontario,"Middle family Income: $60,000 - $10,000",1,1,0
2,6,6,22,5,2,5,0,0,0,0,female,Going to school,"Single, never married",High school diploma or high school equivalency certificate,Ontario,"Low family Income: below $60,000",5,0,0
2,6,5,22,8,3,5,0,0,0,0,female,Looking for paid work,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"Low family Income: below $60,000",5,0,0
2,6,9,22,8,2,0,0,0,0,0,female,Other,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"Low family Income: below $60,000",0,0,0
2,6,6,22,8,3,1,0,0,0,0,female,Going to school,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"Low family Income: below $60,000",1,1,0
2,6,2,22,8,2,0,1,0,0,0,female,Working at a paid job or self-employed,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"Low family Income: below $60,000",1,1,0
1,6,6,22,5,3,1,0,0,0,0,male,Going to school,"Single, never married",High school diploma or high school equivalency certificate,Ontario,"Low family Income: below $60,000",1,1,0
2,6,9,22,5,8,9,0,0,0,0,female,Other,"Single, never married",High school diploma or high school equivalency certificate,Ontario,"High family Income: above $10,000",9,0,0
1,6,5,22,8,3,1,0,0,0,0,male,Looking for paid work,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"Low family Income: below $60,000",1,1,0
2,6,5,22,4,5,1,0,0,0,0,female,Looking for paid work,"Single, never married",Less than high school diploma or its equivalent,Ontario,"Middle family Income: $60,000 - $10,000",1,1,0
1,6,6,22,4,6,1,0,0,0,0,male,Going to school,"Single, never married",Less than high school diploma or its equivalent,Ontario,"High family Income: above $10,000",1,1,0
2,6,2,22,8,2,1,0,0,0,0,female,Working at a paid job or self-employed,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"Low family Income: below $60,000",1,1,0
2,6,9,22,8,7,3,0,0,0,0,female,Other,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"High family Income: above $10,000",3,0,0
2,6,2,22,8,3,1,0,0,0,0,female,Working at a paid job or self-employed,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"Low family Income: below $60,000",1,1,0
2,6,9,22,5,2,1,0,0,0,0,female,Other,"Single, never married",High school diploma or high school equivalency certificate,Ontario,"Low family Income: below $60,000",1,1,0
2,6,6,22,8,2,1,0,0,0,0,female,Going to school,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"Low family Income: below $60,000",1,1,0
2,6,2,22,4,4,3,0,0,0,0,female,Working at a paid job or self-employed,"Single, never married",Less than high school diploma or its equivalent,Ontario,"Middle family Income: $60,000 - $10,000",3,0,0
2,6,6,22,8,3,9,0,0,0,0,female,Going to school,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"Low family Income: below $60,000",9,0,0
2,2,6,22,5,4,0,3,0,0,0,female,Going to school,Living common-law,High school diploma or high school equivalency certificate,Ontario,"Middle family Income: $60,000 - $10,000",3,0,0
2,6,2,22,8,3,3,0,0,0,0,female,Working at a paid job or self-employed,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"Low family Income: below $60,000",3,0,0
1,6,2,22,8,5,5,0,0,0,0,male,Working at a paid job or self-employed,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"Middle family Income: $60,000 - $10,000",5,0,0
2,6,9,22,5,5,3,0,0,0,0,female,Other,"Single, never married",High school diploma or high school equivalency certificate,Ontario,"Middle family Income: $60,000 - $10,000",3,0,0
2,6,2,22,8,4,1,0,0,0,0,female,Working at a paid job or self-employed,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"Middle family Income: $60,000 - $10,000",1,1,0
2,6,6,22,8,4,3,0,0,0,0,female,Going to school,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"Middle family Income: $60,000 - $10,000",3,0,0
2,6,2,22,8,6,1,0,0,0,0,female,Working at a paid job or self-employed,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"High family Income: above $10,000",1,1,0
2,2,9,22,9,5,3,0,0,0,0,female,Other,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Ontario,"Middle family Income: $60,000 - $10,000",3,0,0
1,6,2,22,5,3,1,0,0,0,0,male,Working at a paid job or self-employed,"Single, never married",High school diploma or high school equivalency certificate,Ontario,"Low family Income: below $60,000",1,1,0
2,6,2,22,8,5,3,0,0,0,0,female,Working at a paid job or self-employed,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"Middle family Income: $60,000 - $10,000",3,0,0
2,6,6,22,4,4,3,0,0,0,0,female,Going to school,"Single, never married",Less than high school diploma or its equivalent,Ontario,"Middle family Income: $60,000 - $10,000",3,0,0
2,6,2,22,9,3,0,3,0,0,0,female,Working at a paid job or self-employed,"Single, never married","Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Ontario,"Low family Income: below $60,000",3,0,0
1,6,6,22,8,4,9,0,0,0,0,male,Going to school,"Single, never married",University certificate or diploma below the bachelor’s level,Ontario,"Middle family Income: $60,000 - $10,000",9,0,0
2,6,6,22,9,2,1,0,0,0,0,female,Going to school,"Single, never married","Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Ontario,"Low family Income: below $60,000",1,1,0
2,4,4,22,9,3,9,0,0,0,0,female,Retired,Separated,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Ontario,"Low family Income: below $60,000",9,0,0
2,6,1,22,10,4,3,0,0,0,0,female,Working at a paid job or self-employed,"Single, never married","University certificate, diploma or degree above the bach. . .",Ontario,"Middle family Income: $60,000 - $10,000",3,0,0
2,1,4,25,5,4,2,0,0,0,0,female,Retired,Married,High school diploma or high school equivalency certificate,Saskatchewan,"Middle family Income: $60,000 - $10,000",2,0,1
1,6,8,24,8,2,2,0,0,0,0,male,Long term illness,"Single, never married",University certificate or diploma below the bachelor’s level,Quebec,"Low family Income: below $60,000",2,0,1
2,1,4,15,9,4,1,0,0,0,0,female,Retired,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",British Columbia,"Middle family Income: $60,000 - $10,000",1,1,0
2,1,3,15,11,4,9,0,0,0,0,female,Working at a paid job or self-employed,Married,"University certificate, diploma or degree above the bach. . .",British Columbia,"Middle family Income: $60,000 - $10,000",9,0,0
2,1,4,14,7,7,9,0,0,0,0,female,Retired,Married,"College, CEGEP or other non-university certificate or di. . .",Alberta,"High family Income: above $10,000",9,0,0
2,2,4,16,9,6,1,0,0,0,0,female,Retired,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Manitoba,"High family Income: above $10,000",1,1,0
1,1,4,25,7,5,1,0,0,0,0,male,Retired,Married,"College, CEGEP or other non-university certificate or di. . .",Saskatchewan,"Middle family Income: $60,000 - $10,000",1,1,0
2,1,1,22,10,4,2,0,0,0,0,female,Working at a paid job or self-employed,Married,"University certificate, diploma or degree above the bach. . .",Ontario,"Middle family Income: $60,000 - $10,000",2,0,1
1,1,4,22,8,3,2,0,0,0,0,male,Retired,Married,University certificate or diploma below the bachelor’s level,Ontario,"Low family Income: below $60,000",2,0,1
1,6,1,20,11,5,2,0,0,0,0,male,Working at a paid job or self-employed,"Single, never married","University certificate, diploma or degree above the bach. . .",Nova Scotia,"Middle family Income: $60,000 - $10,000",2,0,1
2,6,1,22,5,3,1,0,0,0,0,female,Working at a paid job or self-employed,"Single, never married",High school diploma or high school equivalency certificate,Ontario,"Low family Income: below $60,000",1,1,0
2,1,2,16,7,6,5,0,0,0,0,female,Working at a paid job or self-employed,Married,"College, CEGEP or other non-university certificate or di. . .",Manitoba,"High family Income: above $10,000",5,0,0
1,1,3,14,9,4,2,0,0,0,0,male,Working at a paid job or self-employed,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Alberta,"Middle family Income: $60,000 - $10,000",2,0,1
2,1,1,22,9,6,2,0,0,0,0,female,Working at a paid job or self-employed,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Ontario,"High family Income: above $10,000",2,0,1
2,1,3,16,5,5,2,0,0,0,0,female,Working at a paid job or self-employed,Married,High school diploma or high school equivalency certificate,Manitoba,"Middle family Income: $60,000 - $10,000",2,0,1
1,1,4,22,9,7,2,0,0,0,0,male,Retired,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Ontario,"High family Income: above $10,000",2,0,1
2,3,1,22,7,3,9,0,0,0,0,female,Working at a paid job or self-employed,Divorced,"College, CEGEP or other non-university certificate or di. . .",Ontario,"Low family Income: below $60,000",9,0,0
2,6,1,22,9,4,9,0,0,0,0,female,Working at a paid job or self-employed,"Single, never married","Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Ontario,"Middle family Income: $60,000 - $10,000",9,0,0
1,1,4,22,4,3,2,0,0,0,0,male,Retired,Married,Less than high school diploma or its equivalent,Ontario,"Low family Income: below $60,000",2,0,1
2,1,2,22,10,3,0,0,0,0,0,female,Working at a paid job or self-employed,Married,"University certificate, diploma or degree above the bach. . .",Ontario,"Low family Income: below $60,000",0,0,0
1,4,1,22,5,3,9,0,0,0,0,male,Working at a paid job or self-employed,Separated,High school diploma or high school equivalency certificate,Ontario,"Low family Income: below $60,000",9,0,0
1,6,4,15,6,2,0,0,0,0,0,male,Retired,"Single, never married",Trade certificate or diploma,British Columbia,"Low family Income: below $60,000",0,0,0
1,1,8,22,6,8,3,0,0,0,0,male,Long term illness,Married,Trade certificate or diploma,Ontario,"High family Income: above $10,000",3,0,0
1,6,5,22,5,2,3,0,0,0,0,male,Looking for paid work,"Single, never married",High school diploma or high school equivalency certificate,Ontario,"Low family Income: below $60,000",3,0,0
2,6,8,22,5,2,5,0,0,0,0,female,Long term illness,"Single, never married",High school diploma or high school equivalency certificate,Ontario,"Low family Income: below $60,000",5,0,0
2,3,2,24,5,3,9,0,0,0,0,female,Working at a paid job or self-employed,Divorced,High school diploma or high school equivalency certificate,Quebec,"Low family Income: below $60,000",9,0,0
2,1,8,15,7,3,5,0,0,0,0,female,Long term illness,Married,"College, CEGEP or other non-university certificate or di. . .",British Columbia,"Low family Income: below $60,000",5,0,0
2,2,1,24,9,5,9,0,0,0,0,female,Working at a paid job or self-employed,Living common-law,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Quebec,"Middle family Income: $60,000 - $10,000",9,0,0
1,1,4,22,7,4,0,2,0,0,0,male,Retired,Married,"College, CEGEP or other non-university certificate or di. . .",Ontario,"Middle family Income: $60,000 - $10,000",2,0,1
1,6,8,24,4,1,0,0,0,0,0,male,Long term illness,"Single, never married",Less than high school diploma or its equivalent,Quebec,"Low family Income: below $60,000",0,0,0
2,1,4,24,9,4,2,0,0,0,0,female,Retired,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Quebec,"Middle family Income: $60,000 - $10,000",2,0,1
1,2,1,23,5,2,2,0,0,0,0,male,Working at a paid job or self-employed,Living common-law,High school diploma or high school equivalency certificate,Prince Edward Island,"Low family Income: below $60,000",2,0,1
2,6,1,24,10,4,5,0,0,0,0,female,Working at a paid job or self-employed,"Single, never married","University certificate, diploma or degree above the bach. . .",Quebec,"Middle family Income: $60,000 - $10,000",5,0,0
1,6,1,22,6,3,0,0,0,0,0,male,Working at a paid job or self-employed,"Single, never married",Trade certificate or diploma,Ontario,"Low family Income: below $60,000",0,0,0
2,1,1,17,7,6,9,0,0,0,0,female,Working at a paid job or self-employed,Married,"College, CEGEP or other non-university certificate or di. . .",New Brunswick,"High family Income: above $10,000",9,0,0
1,3,5,22,7,3,9,0,0,0,0,male,Looking for paid work,Divorced,"College, CEGEP or other non-university certificate or di. . .",Ontario,"Low family Income: below $60,000",9,0,0
1,2,4,22,6,5,9,0,0,0,0,male,Retired,Living common-law,Trade certificate or diploma,Ontario,"Middle family Income: $60,000 - $10,000",9,0,0
1,3,5,22,4,3,1,0,0,0,0,male,Looking for paid work,Divorced,Less than high school diploma or its equivalent,Ontario,"Low family Income: below $60,000",1,1,0
2,1,4,18,6,4,2,0,0,0,0,female,Retired,Married,Trade certificate or diploma,Newfoundland and Labroador,"Middle family Income: $60,000 - $10,000",2,0,1
2,5,4,22,9,7,1,0,0,0,0,female,Retired,Widowed,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Ontario,"High family Income: above $10,000",1,1,0
2,1,1,24,9,6,1,0,0,0,0,female,Working at a paid job or self-employed,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Quebec,"High family Income: above $10,000",1,1,0
2,6,1,22,9,3,1,0,0,0,0,female,Working at a paid job or self-employed,"Single, never married","Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Ontario,"Low family Income: below $60,000",1,1,0
2,3,4,24,7,2,4,0,0,0,0,female,Retired,Divorced,"College, CEGEP or other non-university certificate or di. . .",Quebec,"Low family Income: below $60,000",4,0,0
2,1,4,22,7,5,2,0,0,0,0,female,Retired,Married,"College, CEGEP or other non-university certificate or di. . .",Ontario,"Middle family Income: $60,000 - $10,000",2,0,1
2,6,1,24,9,4,9,0,0,0,0,female,Working at a paid job or self-employed,"Single, never married","Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Quebec,"Middle family Income: $60,000 - $10,000",9,0,0
2,1,4,24,5,3,2,0,0,0,0,female,Retired,Married,High school diploma or high school equivalency certificate,Quebec,"Low family Income: below $60,000",2,0,1
2,2,1,17,7,3,1,0,0,0,0,female,Working at a paid job or self-employed,Living common-law,"College, CEGEP or other non-university certificate or di. . .",New Brunswick,"Low family Income: below $60,000",1,1,0
