sex,marstat,ehg3_01,mar_110,prv,famincg2,gender,marital,edu,employment,province,income
2,1,2,6,48,5,female,Married,High school diploma or high school equivalency certificate,Retired,Alberta,"High family Income: above $10,000"
2,3,1,6,46,2,female,Widowed,Less than high school diploma or its equivalent,Retired,Manitoba,"Low family Income: below $60,000"
2,1,5,6,24,3,female,Married,University certificate or diploma below the bachelor’s level,Retired,Quebec,"Low family Income: below $60,000"
1,6,6,1,59,2,male,"Single, never married","Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Working at a paid job or self-employed,British Columbia,"Low family Income: below $60,000"
1,1,7,1,35,6,male,Married,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
2,5,2,1,47,4,female,Divorced,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Saskatchewan,"Middle family Income: $60,000 - $10,000"
1,1,7,1,35,6,male,Married,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
2,6,5,1,35,4,female,"Single, never married",University certificate or diploma below the bachelor’s level,Working at a paid job or self-employed,Ontario,"Middle family Income: $60,000 - $10,000"
2,1,4,1,35,6,female,Married,"College, CEGEP or other non-university certificate or di. . .",Working at a paid job or self-employed,Ontario,"High family Income: above $10,000"
2,3,2,6,12,2,female,Widowed,High school diploma or high school equivalency certificate,Retired,Nova Scotia,"Low family Income: below $60,000"
1,6,2,4,13,2,male,"Single, never married",High school diploma or high school equivalency certificate,Household work,New Brunswick,"Low family Income: below $60,000"
2,6,1,3,48,4,female,"Single, never married",Less than high school diploma or its equivalent,Going to school,Alberta,"Middle family Income: $60,000 - $10,000"
1,1,2,1,12,5,male,Married,High school diploma or high school equivalency certificate,Working at a paid job or self-employed,Nova Scotia,"High family Income: above $10,000"
1,2,5,1,12,6,male,Living common-law,University certificate or diploma below the bachelor’s level,Working at a paid job or self-employed,Nova Scotia,"High family Income: above $10,000"
2,5,4,6,12,2,female,Divorced,"College, CEGEP or other non-university certificate or di. . .",Retired,Nova Scotia,"Low family Income: below $60,000"
2,1,3,6,35,3,female,Married,Trade certificate or diploma,Retired,Ontario,"Low family Income: below $60,000"
2,1,6,6,13,2,female,Married,"Bachelor’s degree (e.g. B.A., B.Sc., LL.B.)",Retired,New Brunswick,"Low family Income: below $60,000"
2,2,7,1,24,6,female,Living common-law,"University certificate, diploma or degree above the bach. . .",Working at a paid job or self-employed,Quebec,"High family Income: above $10,000"
1,1,1,1,46,2,male,Married,Less than high school diploma or its equivalent,Working at a paid job or self-employed,Manitoba,"Low family Income: below $60,000"
